제품명,링크,가격,평점,등록일,스펙
로보락 S7,http://prod.danawa.com/info/?pcode=14544245&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"687,420원",4.9,2021.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 2500Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / 소음: 64dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 음성안내 / [부가] 먼지통용량: 0.47L / 물통용량: 0.3L / 색상: 화이트 / 무게: 4.7kg / 음파진동물걸레 / 크기(가로x세로x깊이): 353x96.5x350mm"
샤오미 드리미 F9,http://prod.danawa.com/info/?pcode=11570810&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"187,910원",4.7,2020.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 2500Pa / 사용시간(개당): 2시간30분 / [기능] 스마트폰제어: 원격제어, 이동동선확인 / 스마트맵핑 / 문턱등반 / 자동충전 / 프리볼트 / [부가] 먼지통용량: 0.6L / 물통용량: 0.2L / 색상: 화이트 / 무게: 3.7kg / 크기(가로x세로x깊이): 350x80x350mm"
샤오미 미지아 B101CN,http://prod.danawa.com/info/?pcode=16898933&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"805,470원",,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라1개 / LDS라이다센서 / 3D센서 / 추락방지센서 / [성능] 흡입력: 4000Pa / 사용시간(개당): 2시간 / [기능] 스마트폰제어: 원격제어, 금지구역, 3D맵핑 / 스마트맵핑 / 카펫인지 / 물걸레자동리프팅 / [스테이션] 자동먼지비움 / 자동걸레세척 / 바람건조 / 물통자동급수 / 먼지용량: 2.5L / [부가]  크기(가로x세로x깊이): 350x97x350mm"
씽크웨이 ThinkAir RV50 PRO,http://prod.danawa.com/info/?pcode=16990496&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"623,010원",,2022.05.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 자이로센서 / 장애물인식센서 / 추락방지센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 4000Pa / 충전시간: 2~4시간 / 헤파필터 / 3단계여과 / 소음: 65dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 음성안내 / [스테이션] 자동먼지비움 / 먼지용량: 2.5L / [부가] 먼지통용량: 0.4L / 물통용량: 0.22L / 색상: 화이트 / 무게: 3.95kg / 크기(가로x세로x깊이): 350x971x350mm"
LG전자 코드제로 로보킹 ThinQ R7 R76ITM,http://prod.danawa.com/info/?pcode=10553427&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"476,960원",4.7,2020.02.,로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개 / 초음파센서 / [성능] 인버터모터 / 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 52dB / [기능] 스마트폰제어: 원격제어 / 문턱등반 / 자동충전 / 리모컨 / [부가] 색상: 아이언그레이 / 무게: 3kg / 크기(가로x세로x깊이): 340x89x340mm
씽크웨이 ThinkAir RV50,http://prod.danawa.com/info/?pcode=12199244&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"789,000원",4.7,2020.09.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라1개 / LDS라이다센서 / 자이로센서 / 장애물인식센서 / 추락방지센서 / 초음파센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 5000Pa / 사용시간(개당): 4시간10분 / 충전시간: 5시간 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 음성안내 / [부가] 먼지통용량: 0.45L / 물통용량: 0.15L / 색상: 화이트 / 무게: 3.8kg / 크기(가로x세로x깊이): 355x103x355mm"
로보락 S6 MaxV,http://prod.danawa.com/info/?pcode=11705579&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"2,103,720원",4.8,2020.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개 / LDS라이다센서 / 장애물인식센서 / 추락방지센서 / 범핑센서 / [성능] 흡입력: 2500Pa / 사용시간(개당): 3시간 / 충전시간: 3시간20분 / 소음: 53dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 실시간영상 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / [부가] 먼지통용량: 0.46L / 물통용량: 0.297L / 색상: 블랙 / 무게: 3.5kg / 홈뷰 / 자동물조절 / 크기(가로x세로x깊이): 350x96.5x350mm"
레노버 클린스테이션 T1S PRO,http://prod.danawa.com/info/?pcode=12614348&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"458,990원",4.7,2020.11.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 자이로센서 / 추락방지센서 / [성능] 흡입력: 2700Pa / 사용시간(개당): 4시간 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / [부가] 먼지통용량: 0.4L / 물통용량: 0.11L / 색상: 화이트+샴페인골드 / 무게: 3.3kg / 크기(가로x세로x깊이): 350x98x350mm"
샤오미 미지아 3C,http://prod.danawa.com/info/?pcode=16865399&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"223,160원",,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 4000Pa / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 자동충전 / 음성인식 / [부가] 무게: 3.6kg / 크기(가로x세로x깊이): 350x94.5x360mm"
삼성전자 비스포크 제트 봇 AI VR50T95935,http://prod.danawa.com/info/?pcode=14017310&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,019,090원",4.7,2021.04.,"로봇청소기 / 흡입전용 / [센서] 카메라1개 / LDS라이다센서 / 3D센서 / 추락방지센서 / [성능] 인버터모터 / 사용시간(개당): 1시간30분 / 충전시간: 3시간30분 / 5단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인, 실시간영상 / 스마트맵핑 / 카펫인지 / 자동충전 / 음성인식 / [스테이션] 자동먼지비움 / 먼지용량: 2.5L / [부가] 먼지통용량: 0.2L / 색상: 미스티화이트 / 무게: 4.4kg / 크기(가로x세로x깊이): 305x136.5x320mm"
에즈윈 ASWING X8-UV,http://prod.danawa.com/info/?pcode=11501313&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"459,990원",4.4,2020.08.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 2500Pa / 사용시간(개당): 2시간 / 충전시간: 6시간 / 헤파필터 / 소음: 65dB / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / UV살균 / 자기위치메모리 / 음성안내 / 리모컨 / 프리볼트 / [부가] 먼지통용량: 0.6L / 물통용량: 0.36L / 색상: 블랙 / 크기(가로x세로x깊이): 330x96x330mm"
샤오미 드리미 W10,http://prod.danawa.com/info/?pcode=15572600&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,089,900원",4.5,2021.11.,"로봇청소기 / 흡입+걸레겸용 (회전식) / [센서] LDS라이다센서 / [성능] BLDC모터 / 흡입력: 4000Pa / 사용시간(개당): 3시간30분 / 소음: 40dB / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 카펫우회 / [스테이션] 자동걸레세척 / 바람건조 / 정수용량: 4L / [부가] 먼지통용량: 0.45L / 크기(가로x세로x깊이): 334x105.5x314mm"
LG전자 코드제로 ThinQ M9 M970,http://prod.danawa.com/info/?pcode=12143828&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"578,240원",4.7,2020.09.,"로봇청소기 / 걸레전용 / [센서] 카메라2개 (상,하) / ToF센서 / 장애물인식센서 / 범핑센서 / [성능] 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 44dB / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상 / 스마트맵핑 / 자동충전 / 자기위치메모리 / 리모컨 / 물분사 / [부가] 물통용량: 0.3L / 색상: 아이언그레이 / 무게: 2.3kg / 크기(가로x세로x깊이): 280x89x280mm"
니봇 Q11,http://prod.danawa.com/info/?pcode=15219506&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"429,140원",4.7,2021.09.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 4000Pa / 사용시간(개당): 1시간30분 / 충전시간: 6시간 / 소음: 55dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 카펫인지 / 물분사 / [스테이션] 자동먼지비움 / 먼지용량: 2.5L / [부가] 먼지통용량: 0.25L / 물통용량: 0.3L / 크기(가로x세로x깊이): 350x87x350mm"
샤오미 드리미 D9 RLS5-WH0,http://prod.danawa.com/info/?pcode=12991763&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"343,190원",4.7,2020.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 자이로센서 / 추락방지센서 / 가속도센서 / [성능] BLDC모터 / 흡입력: 3000Pa / 사용시간(개당): 2시간30분 / [기능] 스마트폰제어: 원격제어, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 프리볼트 / [부가] 먼지통용량: 0.57L / 물통용량: 0.27L / 색상: 화이트 / 크기(가로x세로x깊이): 350x96.8x350mm"
LG전자 코드제로 ThinQ R9 R961,http://prod.danawa.com/info/?pcode=14646326&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"771,680원",4.8,2021.07.,"로봇청소기 / 흡입전용 / [센서] 카메라1개 / 3D센서 / 추락방지센서 / 범핑센서 / [성능] 스마트인버터모터 / 사용시간(개당): 1시간30분 / 충전시간: 4시간 / 헤파필터 / 5단계여과 / 소음: 55dB / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상 / 스마트맵핑 / 문턱등반 / 카펫인지 / 음성인식 / 리모컨 / [부가] 색상: 아이언그레이 / 무게: 4.2kg / 크기(가로x세로x깊이): 286x143x330mm"
Fm94VoJCKv,/ajax/productPot.ajax.php?key=Fm94VoJCKv,249800원,,,Fm94VoJCKv249800
에브리봇 3i POP,http://prod.danawa.com/info/?pcode=12058100&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"292,550원",4.6,2020.08.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 2150Pa / 사용시간(개당): 2시간30분 / 충전시간: 5시간 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / 자기위치메모리 / 음성안내 / 프리볼트 / [부가] 먼지통용량: 0.5L / 물통용량: 0.16L / 색상: 크림베이지, 미스티블루 / 무게: 3.4kg / 크기(가로x세로x깊이): 350x94.5x350mm"
샤오미 Lydsto S1,http://prod.danawa.com/info/?pcode=15922286&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"649,000원",4.9,2021.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 4500Pa / 사용시간(개당): 4시간30분 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 물통용량: 0.25L / 색상: 화이트, 블랙 / UV살균 / 크기(가로x세로x깊이): 350x98x350mm"
로보락 S5 Max,http://prod.danawa.com/info/?pcode=11137911&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"999,000원",4.8,2020.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / 범핑센서 / [성능] 흡입력: 2000Pa / 사용시간(개당): 2시간30분 / 충전시간: 6시간 / 소음: 53dB / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / [부가] 먼지통용량: 0.46L / 물통용량: 0.29L / 색상: 화이트 / 무게: 3.5kg / 크기(가로x세로x깊이): 350x96.5x350mm"
파워가드 워터 윈클봇 WWB-S700,http://prod.danawa.com/info/?pcode=17001584&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"198,000원",4.6,2022.05.,로봇청소기 / 유리청소 / [성능] BLDC모터 / 흡입력: 3800Pa / 소음: 65dB / [기능] 리모컨 / 물분사 / 낙하방지로프 / [부가] 물통용량: 0.03L / 무게: 1.05kg / 크기(가로x세로x깊이): 295x69x145mm
LG전자 로보킹 ThinQ R46RTM,http://prod.danawa.com/info/?pcode=10552803&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"368,140원",4.8,2020.02.,로봇청소기 / 흡입+걸레겸용 / [센서] 카메라1개 / 초음파센서 / [성능] 인버터모터 / 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 52dB / [기능] 스마트폰제어: 원격제어 / 문턱등반 / 자동충전 / 리모컨 / [부가] 색상: 보헤미안레드 / 무게: 3kg / 크기(가로x세로x깊이): 340x89x340mm
호봇 HOBOT-188,http://prod.danawa.com/info/?pcode=6086423&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"304,650원",4.8,2016.08.,로봇청소기 / 유리청소 / [센서] 자이로센서 / 장애물인식센서 / 추락방지센서 / 소음: 67dB / [기능] 리모컨 / 프리볼트 / [부가] 색상: 화이트 / 무게: 0.94kg / 패드: 극세사 / 크기(가로x세로x깊이): 148x120x295mm
샤오미 Lydsto R1,http://prod.danawa.com/info/?pcode=13873985&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"599,000원",4.9,2021.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 2700Pa / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 물통용량: 0.25L / 색상: 화이트, 블랙 / 크기(가로x세로x깊이): 349x35x100mm"
로보락 S7 MaxV,http://prod.danawa.com/info/?pcode=16613399&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,099,000원",4.8,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개 / LDS라이다센서 / 3D센서 / 장애물인식센서 / [성능] 흡입력: 5100Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / 소음: 64dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인, 실시간영상, 3D맵핑 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 물걸레자동리프팅 / 음성안내 / 음성인식 / [부가] 먼지통용량: 0.47L / 물통용량: 0.2L / 색상: 블랙 / 무게: 4.7kg / 크기(가로x세로x깊이): 353x96.5x350mm"
타마 H14,http://prod.danawa.com/info/?pcode=15356222&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"510,570원",4.9,2021.10.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 4200Pa / 사용시간(개당): 4시간30분 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 카펫인지 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 먼지통용량: 0.3L / 물통용량: 0.25L / 무게: 3.7kg / 크기(가로x세로x깊이): 350x98x350mm"
한경희생활과학 AREA H7 MAX,http://prod.danawa.com/info/?pcode=16964429&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"499,000원",,2022.05.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 장애물인식센서 / 추락방지센서 / IR센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 3300Pa / 사용시간(개당): 5시간20분 / 충전시간: 6시간 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 카펫인지 / 자동충전 / 자기위치메모리 / 리모컨 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 먼지통용량: 0.3L / 물통용량: 0.22L / 색상: 샤이닝실버 / 크기(가로x세로x깊이): 350x100x350mm"
아르나 S8,http://prod.danawa.com/info/?pcode=16042175&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"222,730원",4.9,2021.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 3500Pa / 헤파필터 / 소음: 70dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 자동충전 / 자기위치메모리 / [부가] 먼지통용량: 0.3L / 물통용량: 0.25L / 색상: 화이트, 블랙 / 무게: 5.3kg"
클리엔 R9,http://prod.danawa.com/info/?pcode=12861923&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"499,000원",4.3,2020.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 3000Pa / 사용시간(개당): 4시간 / 헤파필터 / 3단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 자동충전 / [부가] 색상: 블랙, 화이트 / 크기(가로x세로x깊이): 350x100x350mm"
샤오미 로보락 스마트 로봇 청소기 2세대,http://prod.danawa.com/info/?pcode=5732545&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"664,050원",4.8,2017.10.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 2000Pa / 사용시간(개당): 2시간30분 / [기능] 스마트폰제어: 원격제어 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / [부가] 먼지통용량: 0.5L / 색상: 화이트, 블랙, 로즈골드 / 크기(가로x세로x깊이): 350x96.5x353mm"
치후360 S9 MAX,http://prod.danawa.com/info/?pcode=12849920&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"399,000원",4.9,2020.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 2650Pa / 사용시간(개당): 3시간20분 / 헤파필터 / 소음: 54dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 리모컨 / [부가] 먼지통용량: 0.42L / 물통용량: 0.2L / 색상: 화이트 / 무게: 3.9kg / 크기(가로x세로x깊이): 350x100x350mm"
유진로봇 아이클레보 지니 G10 YCR-M20-10A,http://prod.danawa.com/info/?pcode=15875147&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"529,170원",4.8,2021.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / IR센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 2600Pa / 헤파필터 / 4단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 카펫인지 / 리모컨 / [스테이션] 자동먼지비움 / [부가] 먼지통용량: 0.3L / 물통용량: 0.25L / 무게: 3.5kg / 크기(가로x세로x깊이): 350x98x350mm"
LG전자 오브제컬렉션 코드제로 ThinQ R9 RO971WA + MO971WA,http://prod.danawa.com/info/?pcode=16210019&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,413,000원",4.3,2022.01.,"로봇청소기+로봇청소기세트 / 흡입전용+걸레전용 / [센서] 카메라1개 / 3D센서 / 추락방지센서 / 범핑센서 / [성능] 스마트인버터모터 / 사용시간(개당): 1시간 / 충전시간: 4시간 / 5단계여과 / 소음: 44dB / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상, 스마트페어링 / 스마트맵핑 / 문턱등반 / 카펫인지 / 음성안내 / 음성인식 / 리모컨 / [부가] 물통용량: 0.3L / 색상: 카밍베이지 / 무게: 4.2kg / 64비트쿼드코어CPU / 크기(가로x세로x깊이): 286x143x330mm / ※ 상품 옵션 확인 후 구매"
로이모 클린스테이션 LRW-001,http://prod.danawa.com/info/?pcode=14496080&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"390,000원",4.3,2021.06.,로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 장애물인식센서 / [성능] 흡입력: 2700Pa / 사용시간(개당): 3시간20분 / [기능] 스마트폰제어: 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / 자기위치메모리 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 먼지통용량: 0.3L / 물통용량: 0.25L / 색상: 화이트 / 무게: 3.6kg
샤오미 트윈봇 S9,http://prod.danawa.com/info/?pcode=16067648&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"465,000원",5.0,2021.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 2700Pa / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / UV살균 / 자기위치메모리 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가] 먼지통용량: 0.3L / 물통용량: 0.25L / 색상: 화이트, 블랙 / 크기(가로x세로x깊이): 349x100x353mm"
노와 NWC-602,http://prod.danawa.com/info/?pcode=7227202&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"94,000원",4.0,2019.02.,로봇청소기 / 걸레전용 / [센서] 장애물인식센서 / [성능] 사용시간(개당): 4시간 / 충전시간: 5~6시간 / 패드: 일회용정전기패드
앱코 오엘라 OA-RC01,http://prod.danawa.com/info/?pcode=14586845&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"36,000원",2.0,2021.06.,로봇청소기 / 흡입전용 / [센서] 장애물인식센서 / [성능] 사용시간(개당): 1시간20분 / 충전시간: 3시간 / 소음: 55dB / [부가] 무게: 0.62kg / 크기(가로x세로x깊이): 260x65x260mm
아이리버 에이클 INS-100,http://prod.danawa.com/info/?pcode=16855955&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"480,080원",5.0,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 추락방지센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 2700Pa / 사용시간(개당): 4시간30분 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 음성안내 / 리모컨 / [스테이션] 자동먼지비움 / 먼지용량: 3L / [부가]  UV살균 / 크기(가로x세로x깊이): 470x528x178mm"
코오롱글로벌 샤클라 KGC001,http://prod.danawa.com/info/?pcode=15273281&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"214,990원",4.6,2021.09.,로봇청소기 / 걸레전용 (왕복식) / [센서] 장애물인식센서 / 추락방지센서 / [성능] 사용시간(개당): 2시간 / 충전시간: 3시간 / 소음: 71dB / [기능] 스마트폰제어: 금지구역 / 자동충전 / [부가] 먼지통용량: 0.24L / 크기(가로x세로x깊이): 320x80.5x320mm
HCR-11,http://prod.danawa.com/info/?pcode=14863106&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"89,260원",4.2,2021.07.,로봇청소기 / 유리청소 / [성능] BLDC모터 / 흡입력: 5600Pa / [기능] 리모컨 / 물분사 / 낙하방지로프 / 패드: 극세사(벨크로형)
원더스리빙 원더스 다이나킹 R15,http://prod.danawa.com/info/?pcode=11314344&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"288,000원",4.8,2020.05.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 4200Pa / 사용시간(개당): 2시간55분 / 충전시간: 5시간 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / [부가] 먼지통용량: 0.45L / 물통용량: 0.15L / 색상: 화이트 / 무게: 4.3kg / 크기(가로x세로x깊이): 350x102x350mm"
